_id,tanggal,jam,title,deskripsi
45,2017-06-08T00:00:00,13:30:00,Badan Anggaran DPR RI - Rapat Panja dengan Pemerintah,"Melanjutkan Pembahasan Asumsi Dasar, Kebijakan Fiskal, Pendapatan, Defisit dan Pembiayaan - RAPBN TA. 2018"
46,2017-06-11T00:00:00,08:00:00,Ketua DPR RI melakukan  Kunjungan ke Kota Dumai Provinsi Kep. Riau,Dalam rangka menghadiri acara event wisata nasional Bakar Tongkang bertempat di Bagan Siapiapi Rokan Hilir Riau.
47,2017-06-12T00:00:00,08:00:00,Ketua DPR RI melakukan  Kunjungan ke DemakProvinsi Jawa Tengah,Dalam rangka Safari Ramadhan
48,2017-06-12T00:00:00,09:00:00,"Kunker Spesifik ke Provinsi  Sumatera Utara, Jawa Timur dan Nusa Tenggara  Barat",Peninjauan pasar dalam rangka persiapan hari raya Idul Fitri  1438 H
49,2017-06-12T00:00:00,10:00:00,Rapat Dengar Pendapat Komisi I DPR RI dengan Lemhannas RI & Wantannas RI.,Pembahasan RKA KL & RKP KL Lemhannas RI & Wantannas RI & Isu aktual.
50,2017-06-12T00:00:00,10:00:00,"Badan Anggaran DPR RI - Rapat Panja Asumsi Dasar, Kebijakan Fiskal, Pendapatan, Defisit dan Pembiaayaan dengan Pemerintah (R.R. Banggar Gedung Nusantara II Lantai 1","Melanjutkan Pembahasan Asumsi Dasar, Kebijakan Fiskal, Pendapatan, Defisit dan Pembiayaan  dalam RAPBN TA.2018"
51,2017-06-12T00:00:00,10:00:00,Badan Anggaran DPR RI - Rapat Panja RKP dan Prioritas Anggaran Tahun 2018 dengan Pemerintah (R.R. Banggar Nusantara II Lantai 1),Membahas RKP dan Prioritas Anggaran Tahun 2018 dalam RAPBN TA. 2018
52,2017-06-12T00:00:00,10:00:00,"Raker Komisi II  dPR RI dengan Mensesneg, Seskab dan KSP",Pengantar Pendahuluan R-APBN 2018
53,2017-06-12T00:00:00,10:00:00,Rapat Kerja Komisi VIII DPR RI dengan Menteri Agama RI.,Pembahasan Pembicaraan Pendahluan RAPBN TA 2018 dan RKP Tahun 2018.
54,2017-06-12T00:00:00,10:00:00,Rapat Panja (tertutup) Harmonisasi RUU Konservasi Sumber Daya Alam Hayati dan Ekosistemnya,-
55,2017-06-12T00:00:00,10:00:00,RAKER KOMISI IV DPR RI DGN MENTERIAN PERTANIAN RI,Pembahasan RKA K-L dan RKP -k-L tahun 2018
56,2017-06-12T00:00:00,11:00:00,"Raker Komisi X DPR RI dengan Menteri Riset, Teknologi, dan Pendidikan Tinggi RI",Pembahasan RKP dan RKA K/L Tahun 2018
57,2017-06-12T00:00:00,11:00:00,"KOMISI III DPR RI RAKER DG MENKUM DAN HAM RI, JAKSA AGUNG RI DAN KAPOLRI",AGENDA TERKAIT PEMBAHASAN RKA K/L THN 2018
58,2017-06-12T00:00:00,13:00:00,"RAKER DAN RDP KOMISI V DPR RI DGN MENHUB, BMKG, BASARNAS,",membahas RKP RAPBN TA 2018
59,2017-06-12T00:00:00,13:00:00,RDP Komisi II DPR RI dengan KPU dan Bawaslu,Pengantar pendahuluan R-APBN 2018
60,2017-06-12T00:00:00,13:00:00,KOMISI III DPR RI ACARA PLENO INTERN,PENG KEP THDP RKA KL DAN RKP THN 2018
61,2017-06-12T00:00:00,13:00:00,Rapat Timsin RUU Pengelenggaraan Pemilihan Umum dengan Pemerintah,Penyerahan Dokumen Draf RUU tentang Penyelenggaraan Pemilu kepada anggota Timsin untuk di Pelajari.
62,2017-06-12T00:00:00,15:00:00,Raker Komisi X DPR RI dengan Menteri Pariwisata RI,"1. Laporan Ihtisar Hasil Pemeriksaan BPK RI Semester I dan II Tahu 2016;
2. Laporan Hasil Pemeriksaan BPK RI atas Laporan Keuangan Pemerintah Tahun 2016;
3. Pembahasan RKP dan RKA K/L Tahun 2018."
63,2017-06-13T00:00:00,09:00:00,"Kunjungan Spesifik ke Provinsi Sumatera Utara, Jawa Timur dan Nusa Tenggara Barat",Peninjauan pasar dalam rangka persiapan hari raya Idul Fitri  1438 H
64,2017-06-13T00:00:00,10:00:00,Rapat Dengar Pendapat Komisi I DPR RI dengan Dewas & Dirut LPP RRI .,Pembahasan RKA KL & RKP KL LPP RRI & Isu Aktual.
65,2017-06-13T00:00:00,10:00:00,"RDP KOMISI V DGN SETJEN, ITJEN, BALITBANG, DITJEN PKPPT, DITJEN PKT KEMENDES, PDT DAN TRANS",Membahas rincian program unit Eselon I dalam RAPBN TA 2018
66,2017-06-13T00:00:00,10:00:00,Badan Anggaran DPR RI - Rapat Panja RKP dan Prioritas Anggaran Tahun 2018 dengan Pemerintah,Melanjutkan Pembahasan RKP dan Prioritas Anggaran Tahun 2018
67,2017-06-13T00:00:00,10:00:00,Raker Komisi X DPR RI dengan Menteri Pendidikan dan Kebudayaan RI,Pembahasan RKP dan RKA K/L Tahun 2018
68,2017-06-13T00:00:00,10:00:00,KOMISI III DPR RI RAPAT PANJA RUU KUHP DG PEMERINTAH/ DIRJEN PUU KEMENKUM DAN HAM RI,PEMBHASAN BUKU 2 RUU KUHP
69,2017-06-13T00:00:00,10:00:00,"Raker Komisi II DPR RI dengan Mendagri, MenPAN & RB, Menteri ATR/Kepala BPN, BNPP, KASN",Pembicaraan Pendahuluan R-APBN 2018
70,2017-06-13T00:00:00,10:00:00,RAKER KOMISI IV DPR RI DGN MENTERI KELAUTAN DAN PERIKANAN RI,Pembahasan RKA K/L dan RKP K/L Tahun 2018
71,2017-06-13T00:00:00,11:00:00,Wakil Ketua DPR RI/Korpolkam menerima Audiensi PB Pelajar Islam Indonesia (PII),Wakil Ketua DPR RI/Korpolkam menerima Audiensi PB Pelajar Islam Indonesia (PII). Tempat Ruang Kerja Watua DPR RI/Korpolkam.Gd. Nusantara III Lt.3
72,2017-06-13T00:00:00,12:00:00,Wakil Ketua DPR RI/Korpolkam menerima audiensi Ustadz Solmed,Wakil Ketua DPR RI/Korpolkam menerima Audiensi Ustadz Solmed. Tempat Ruang Kerja Watua DPR RI/Korpolkam.Gd. Nusantara III Lt.3. Acara: Ustadz Solmed melaporkan perlakuan imigrasi Singapura yang menahannya selama 10 jam dan dideportasi tanpa kesalahan apapun.
